,time,flare_status,si,sid,sa
180,180.0,no flare,0.1,0.25,1.0
181,181.0,no flare,0.1,0.25,1.0
182,182.0,no flare,0.1,0.25,1.0
183,183.0,no flare,0.1,0.25,1.0
184,184.0,no flare,0.1,0.25,1.0
185,185.0,no flare,0.1,0.25,1.0
186,186.0,no flare,0.1,0.25,1.0
187,187.0,no flare,0.1,0.25,1.0
188,188.0,no flare,0.1,0.25,1.0
189,189.0,no flare,0.1,0.25,1.0
190,190.0,no flare,0.1,0.25,1.0
191,191.0,no flare,0.1,0.25,1.0
192,192.0,no flare,0.1,0.25,1.0
193,193.0,no flare,0.1,0.25,1.0
194,194.0,no flare,0.1,0.25,1.0
195,195.0,no flare,0.1,0.25,1.0
196,196.0,no flare,0.1,0.25,1.0
197,197.0,no flare,0.1,0.25,1.0
198,198.0,no flare,0.1,0.25,1.0
199,199.0,no flare,0.1,0.25,1.0
200,200.0,no flare,0.1,0.25,1.0
201,201.0,no flare,0.1,0.25,1.0
202,202.0,no flare,0.1,0.25,1.0
203,203.0,no flare,0.1,0.25,1.0
204,204.0,no flare,0.1,0.25,1.0
205,205.0,no flare,0.1,0.25,1.0
206,206.0,no flare,0.1,0.25,1.0
207,207.0,no flare,0.1,0.25,1.0
208,208.0,no flare,0.1,0.25,1.0
209,209.0,flare,0.5,1.25,0.25
210,210.0,flare,0.5,1.25,0.25
211,211.0,flare,0.5,1.25,0.25
212,212.0,flare,0.5,1.25,0.25
213,213.0,flare,0.5,1.25,0.25
214,214.0,no flare,0.1,0.25,1.0
215,215.0,no flare,0.1,0.25,1.0
216,216.0,no flare,0.1,0.25,1.0
217,217.0,no flare,0.1,0.25,1.0
218,218.0,no flare,0.1,0.25,1.0
219,219.0,no flare,0.1,0.25,1.0
220,220.0,no flare,0.1,0.25,1.0
221,221.0,no flare,0.1,0.25,1.0
222,222.0,no flare,0.1,0.25,1.0
223,223.0,no flare,0.1,0.25,1.0
224,224.0,no flare,0.1,0.25,1.0
225,225.0,no flare,0.1,0.25,1.0
226,226.0,no flare,0.1,0.25,1.0
227,227.0,no flare,0.1,0.25,1.0
228,228.0,no flare,0.1,0.25,1.0
229,229.0,no flare,0.1,0.25,1.0
230,230.0,no flare,0.1,0.25,1.0
231,231.0,no flare,0.1,0.25,1.0
232,232.0,no flare,0.1,0.25,1.0
233,233.0,no flare,0.1,0.25,1.0
234,234.0,no flare,0.1,0.25,1.0
235,235.0,no flare,0.1,0.25,1.0
236,236.0,no flare,0.1,0.25,1.0
237,237.0,no flare,0.1,0.25,1.0
238,238.0,no flare,0.1,0.25,1.0
239,239.0,no flare,0.1,0.25,1.0
240,240.0,no flare,0.1,0.25,1.0
241,241.0,no flare,0.1,0.25,1.0
242,242.0,no flare,0.1,0.25,1.0
243,243.0,no flare,0.1,0.25,1.0
244,244.0,no flare,0.1,0.25,1.0
245,245.0,no flare,0.1,0.25,1.0
246,246.0,no flare,0.1,0.25,1.0
247,247.0,no flare,0.1,0.25,1.0
248,248.0,no flare,0.1,0.25,1.0
249,249.0,no flare,0.1,0.25,1.0
250,250.0,no flare,0.1,0.25,1.0
251,251.0,no flare,0.1,0.25,1.0
252,252.0,no flare,0.1,0.25,1.0
253,253.0,no flare,0.1,0.25,1.0
254,254.0,no flare,0.1,0.25,1.0
255,255.0,no flare,0.1,0.25,1.0
256,256.0,no flare,0.1,0.25,1.0
257,257.0,no flare,0.1,0.25,1.0
258,258.0,no flare,0.1,0.25,1.0
259,259.0,no flare,0.1,0.25,1.0
260,260.0,no flare,0.1,0.25,1.0
261,261.0,no flare,0.1,0.25,1.0
262,262.0,no flare,0.1,0.25,1.0
263,263.0,no flare,0.1,0.25,1.0
264,264.0,flare,0.5,1.25,0.25
265,265.0,flare,0.5,1.25,0.25
266,266.0,flare,0.5,1.25,0.25
267,267.0,flare,0.5,1.25,0.25
268,268.0,flare,0.5,1.25,0.25
269,269.0,no flare,0.1,0.25,1.0
270,270.0,no flare,0.1,0.25,1.0
271,271.0,no flare,0.1,0.25,1.0
272,272.0,no flare,0.1,0.25,1.0
273,273.0,no flare,0.1,0.25,1.0
274,274.0,no flare,0.1,0.25,1.0
275,275.0,no flare,0.1,0.25,1.0
276,276.0,no flare,0.1,0.25,1.0
277,277.0,no flare,0.1,0.25,1.0
278,278.0,no flare,0.1,0.25,1.0
279,279.0,no flare,0.1,0.25,1.0
280,280.0,no flare,0.1,0.25,1.0
281,281.0,no flare,0.1,0.25,1.0
282,282.0,no flare,0.1,0.25,1.0
283,283.0,no flare,0.1,0.25,1.0
284,284.0,no flare,0.1,0.25,1.0
285,285.0,no flare,0.1,0.25,1.0
286,286.0,no flare,0.1,0.25,1.0
287,287.0,no flare,0.1,0.25,1.0
288,288.0,no flare,0.1,0.25,1.0
289,289.0,no flare,0.1,0.25,1.0
290,290.0,no flare,0.1,0.25,1.0
291,291.0,no flare,0.1,0.25,1.0
292,292.0,no flare,0.1,0.25,1.0
293,293.0,no flare,0.1,0.25,1.0
294,294.0,no flare,0.1,0.25,1.0
295,295.0,no flare,0.1,0.25,1.0
296,296.0,no flare,0.1,0.25,1.0
297,297.0,no flare,0.1,0.25,1.0
298,298.0,no flare,0.1,0.25,1.0
299,299.0,no flare,0.1,0.25,1.0
300,300.0,no flare,0.1,0.25,1.0
301,301.0,no flare,0.1,0.25,1.0
302,302.0,no flare,0.1,0.25,1.0
303,303.0,no flare,0.1,0.25,1.0
304,304.0,no flare,0.1,0.25,1.0
305,305.0,no flare,0.1,0.25,1.0
306,306.0,no flare,0.1,0.25,1.0
307,307.0,no flare,0.1,0.25,1.0
308,308.0,no flare,0.1,0.25,1.0
309,309.0,no flare,0.1,0.25,1.0
